data;
param K := 6;
param N := 8;
param C := 
	1 200
	2 100
	3 200
	4 300
	5 200
	6 100;
param L := 
	1 16
	2 25
	3 21
	4 14
	5 19
	6 14
	7 6
	8 20;
param D:  1  2  3  4  5  6  7  8  9 :=
	1 0  80  131  22  41  127  87  48  113
	2 60  0  85  82  101  81  53  106  57
	3 141  83  0  129  182  4  64  189  28
	4 22  82  129  0  55  125  65  66  101
	5 41  99  172  55  0  168  118  11  154
	6 137  81  4  125  178  0  60  185  32
	7 77  63  64  65  118  60  0  125  36
	8 48  126  179  60  58  175  125  0  161
	9 113  57  28  101  154  24  36  161  0
;
