data;
param K := 6;
param N := 9;
param C := 
	1 190
	2 185
	3 185
	4 190
	5 195
	6 185;
param L := 
	1 11
	2 11
	3 23
	4 16
	5 2
	6 1
	7 24
	8 14
	9 20;
param D:  1  2  3  4  5  6  7  8  9  10 :=
	1 0  199  119  28  179  77  145  61  123  87
	2 199  0  81  206  38  122  55  138  76  113
	3 119  81  0  126  69  121  26  117  91  32
	4 28  206  126  0  186  84  152  68  130  94
	5 169  38  79  176  0  92  58  108  46  98
	6 77  122  121  84  102  0  100  16  46  96
	7 145  55  26  152  58  100  0  91  70  58
	8 61  138  113  68  118  16  91  0  62  87
	9 123  76  91  130  56  46  70  62  0  66
	10 87  113  32  94  94  96  58  87  66  0
;
