data;
param K := 6;
param N := 17;
param C := 
	1 190
	2 185
	3 185
	4 190
	5 195
	6 185;
param L := 
	1 11
	2 11
	3 23
	4 16
	5 2
	6 1
	7 24
	8 14
	9 20
	10 10
	11 11
	12 22
	13 2
	14 12
	15 9
	16 21
	17 10;
param D:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
	1 0  20  19  28  58  48  45  32  90  61  71  59  65  46  72  51  46  66
	2 103  0  81  107  38  110  55  94  76  123  88  76  69  86  99  113  108  106
	3 73  41  0  80  40  29  26  13  75  42  70  58  46  27  53  32  27  47
	4 28  48  47  0  55  59  52  60  62  58  43  31  40  21  59  48  53  61
	5 83  38  79  87  0  102  58  92  56  103  68  56  49  67  79  94  106  86
	6 76  44  72  83  43  0  98  16  46  64  73  61  73  67  27  40  30  43
	7 65  55  26  64  58  55  0  39  69  68  50  38  26  31  66  58  53  56
	8 60  28  56  67  27  16  82  0  62  48  75  63  69  51  40  24  14  34
	9 58  76  77  81  55  46  69  62  0  56  43  31  43  53  23  80  76  30
	10 74  79  42  84  71  35  68  51  56  0  59  47  54  37  59  24  65  43
	11 15  35  34  43  12  43  41  47  39  47  0  12  24  10  16  37  61  32
	12 27  47  46  50  24  55  38  59  31  47  12  0  12  22  28  49  73  30
	13 39  59  46  38  36  56  26  59  43  54  24  12  0  19  40  45  73  37
	14 58  68  27  57  55  38  31  40  62  37  43  31  19  0  59  27  54  50
	15 61  68  80  84  58  27  72  40  23  59  46  34  46  56  0  64  54  16
	16 76  55  32  83  54  11  58  27  57  24  61  49  45  27  38  0  41  54
	17 46  14  42  53  13  21  68  14  67  34  71  59  55  37  48  10  0  47
	18 57  61  76  75  54  43  56  34  30  43  42  30  37  50  16  57  47  0
;
