data;
param K := 8;
param N := 10;
param C := 
	1 180
	2 160
	3 185
	4 200
	5 180
	6 160
	7 175
	8 200;
param L := 
	1 10
	2 25
	3 18
	4 16
	5 14
	6 7
	7 9
	8 16
	9 24
	10 19;
param D:  1  2  3  4  5  6  7  8  9  10  11 :=
	1 0  56  86  87  81  128  107  163  166  98  93
	2 56  0  80  31  63  87  61  107  119  76  37
	3 86  71  0  102  17  42  111  77  90  12  70
	4 87  31  110  0  93  116  30  77  89  105  40
	5 81  63  17  93  0  47  94  82  94  17  53
	6 128  87  42  116  47  0  117  52  92  30  76
	7 117  61  111  30  94  117  0  65  59  106  41
	8 163  107  77  77  82  52  65  0  40  65  70
	9 166  110  90  79  94  92  49  40  0  82  82
	10 98  76  12  105  17  30  106  65  82  0  65
	11 93  37  70  40  53  76  41  70  82  65  0
;
