data;
param K := 8;
param N := 10;
param C := 
	1 200
	2 180
	3 160
	4 185
	5 180
	6 200
	7 160
	8 200;
param L := 
	1 10
	2 25
	3 18
	4 16
	5 14
	6 16
	7 24
	8 19
	9 23
	10 19;
param D:  1  2  3  4  5  6  7  8  9  10  11 :=
	1 0  56  86  77  81  128  107  154  70  93  53
	2 56  0  79  31  62  87  61  107  37  37  24
	3 86  79  0  109  17  43  110  68  43  69  55
	4 87  31  109  0  92  116  30  77  66  40  55
	5 81  62  17  92  0  47  93  82  26  52  38
	6 128  87  43  116  47  0  117  52  58  76  75
	7 116  61  110  30  93  117  0  65  67  41  63
	8 163  107  78  77  82  52  65  0  93  70  110
	9 70  41  43  66  26  73  67  93  0  26  17
	10 93  37  69  40  52  76  41  70  26  0  40
	11 53  24  55  54  38  75  63  110  17  40  0
;
